id,section,description,command
0Ruby#,Ruby#,Generate a random string in ruby of length / generate password,"(0...32).map{ [('a'..'z').to_a,('A'..'Z').to_a,(0..9).to_a].flatten[rand(62)] }.join"
1Ruby#,Ruby#,Hash select only certain elements,"hash.select {|k,v| k == ""i_want_you"" }"
2Ruby#,Ruby#,Delete file,require 'FileUtils'; FileUtils.rm(path_to_image)
3Ruby#,Ruby#,Run command multiple times,"3.times {puts ""test""}"
4Ruby#,Ruby#,Read file in a string,str = IO.read(file)
5Ruby#,Ruby#,Write to a file,"File.open(yourfile, 'w') { |file| file.write(""your text"") }"
6Ruby#,Ruby#,Class variable and class instance variable,"@@, @"
7Ruby#,Ruby#,Get current directory (Dir.pwd or ),File.expand_path File.dirname(__FILE__)
8Ruby#,Ruby#,Read file in memory,"f = File.open(""my/file/path"", ""r"") f.each_line do |line| puts line end f.close"
9Ruby#,Ruby#,ruby loops,"while, for, until, break, redo and retry"
10Ruby#,Ruby#,Date Range,"(Date.new(2014,05,01)..Date.new(2014,10,01)).each {|x| puts x}"
11Ruby#,Ruby#,Read file line by line without loading in memory,"IO.foreach(""testfile"") {|x| print ""GOT "", x }"
12Ruby#,Ruby#,Inject something,"[1, 2, 3, 4].inject(0) { |result, element| result + element } # => 10"
13Ruby#,Ruby#,Strftime to format time,"Time.now.strftime(""%b %d %Y"")"
14Ruby#,Ruby#,Path of looking at directories files when requiring external files/classes,$:
15Ruby#,Ruby#,Add something to the beginning of the array,"[""a"",""b""].unshift('gen-rb')"
16Ruby#,Ruby#,Add something to the end of the array,"[""a"",""b""].push('gen-rb')"
17Ruby#,Ruby#,Run shell command,%x[cmd] = run shell cmd
18Ruby#,Ruby#,multiline string,%q[string]
19Ruby#,Ruby#,multi-line string with substitution for #{},%Q[string]
20Ruby#,Ruby#,Ruby gem install a particular version,gem install fog -v 1.8
21Ruby#,Ruby#,Ruby gems use a particular version in your script,"require 'ruby-oci8', '=1.0.7'"
22Ruby#,Ruby#,Ruby File.open CSV.open modes,http://ruby-doc.org/core-2.2.2/IO.html#method-c-new-label-IO+Open+Mode
23UNIX#,UNIX#,cp multiple files/folders,"cp -r {file1,file2,file3} /dest/dir"
24UNIX#,UNIX#,Host file location,cat /etc/hosts
25UNIX#,UNIX#,cli skip one word backward,Alt + B
26UNIX#,UNIX#,cli skip one word forward,Alt + F
27UNIX#,UNIX#,cli delete to the end of line,Ctrl + K
28UNIX#,UNIX#,cli delete to the beginning of line,Ctrl + U
29UNIX#,UNIX#,cli delete till end of the word,Alt + D
30UNIX#,UNIX#,Set variable in shell script as output of command,var=`date +d`
31UNIX#,UNIX#,generate ssh keys,https://help.github.com/articles/generating-ssh-keys/
32UNIX#,UNIX#,Show calendar,cal 2015
33UNIX#,UNIX#,Geolocate an IP Address,curl ipinfo.io/<ipaddress>
34UNIX#,UNIX#,Compare/diff directories,diff --suppress-common-lines -y <(cd path_to_dir1; find .|sort) <(cd path_to_dir2; find .|sort)
35UNIX#,UNIX#,Case insensitive search in less,-i
36UNIX#,UNIX#,Less go to end of file and follow (like tail),Shift + F
37UNIX#,UNIX#,unix shell loops,"for i in {1..100} ; do echo ""dev.you.sometext:857|c"" | nc -w 1 -u -v graphite0.dev.0.aws.myorg.com 8125 ; done"
38UNIX#,UNIX#,Send a packet over udp using Netcat,"(echo ""GET / HTTP/1.0"" ; echo ""Host: example.com"" ; echo) | nc -w 1 -v example.com 80"
39UNIX#,UNIX#,Receive packets over udp/tcp on port 8125,nc -l -v 8125
40UNIX#,UNIX#,Listen for outgoing UDP packets on a local port,sudo ngrep -W byline -d en3 . udp port 8125 > /tmp/capture.txt
41UNIX#,UNIX#,GNU Screen copy mode,"Ctrl + A, ESC, Use Arrow Keys"
42UNIX#,UNIX#,Find the number of fields/number of columsn/ number of tabs in a line,cat /tmp/delme.txt |  egrep -o -E $'\t' | wc -l  == wc -l /tmp/delme.txt * cat /tmp/delme.txt | head -1 |  egrep -o -E $'\t' | wc -l
